id,item,vowel,language,f1_cent,f2_cent,tl,f1_20,f1_35,f1_50,f1_65,f1_80,f2_20,f2_35,f2_50,f2_65,f2_80
edl,meet,i,en,356.64,2156.76,1796.72,342.07,318.1,322.73,434,366.3,1276.5,1276.93,2779.91,2796.22,2654.24
edl,beat,i,en,271.96,2668.08,256.08,253.82,295.44,282.47,252.43,275.65,2620.07,2666.44,2704.37,2730.49,2619
edl,feet,i,en,277.86,2608.58,261.04,301.93,322.74,288.51,276.33,199.79,2686.28,2681.21,2616.81,2581.36,2477.27
edl,seat,i,en,305.21,2641.29,509.27,279.71,303.23,336.01,351.06,256.04,2680.82,2759.8,2760.41,2619.71,2385.7
edl,heat,i,en,298.15,2651.37,340.2,285.32,284.34,297.07,313.75,310.28,2720.09,2756.09,2714.58,2610.87,2455.2
edl,fleet,a,en,314.19,2700.51,340.88,291.38,301.24,311.4,369.72,297.24,2696.53,2741.05,2715.35,2763.67,2585.97
edl,moss,a,en,689.32,1163.57,141.52,723.64,728.02,690.11,652.94,651.89,1167.18,1138.28,1180.67,1174.73,1156.98
edl,bot,a,en,744.5,1135.72,188.9,750.06,755.94,758.38,730.47,727.66,1137.09,1137.08,1142.97,1077.86,1183.61
edl,fought,a,en,659.45,1028.16,396.17,619.99,650.65,672.45,678.83,675.32,874.16,941.33,1010.93,1054.54,1259.83
edl,sought,a,en,726.21,1206.51,611.2,724.67,715.42,723.99,743.61,723.35,1223.71,1136.9,1023.88,1215.59,1432.49
edl,caught,a,en,724.36,1070.91,739.53,684.15,725.18,715.85,748.44,748.16,1016.99,988.27,980.36,892.64,1476.29
edl,brought,u,en,624.99,942.77,1004.26,508.52,539.25,716.51,650.65,710.01,762.38,751.13,958.29,840.58,1401.45
edl,moot,u,en,373.33,975.26,303.96,391.97,385.61,367.62,364.96,356.48,987.83,952.12,906.34,907.26,1122.78
edl,boot,u,en,309.71,851.32,238.31,294.56,288.62,295.85,326.04,343.49,906.46,887.85,838.15,767.19,856.95
edl,food,u,en,331.98,775.67,409.27,357.39,342.07,344.25,348.42,267.78,963.04,783.41,796.73,730.01,605.14
edl,soothe,u,en,363.4,1972.4,1638.65,365.3,366.79,391.1,344.06,349.77,2014.26,2313.89,2392.57,2002.55,1138.75
edl,cooed,u,en,333.07,936.96,1451.83,330.63,338.03,330.13,364.93,301.62,671.77,787.33,989.84,698.92,1536.92
edl,dude,i,en,334.66,1420.65,3031.39,297.91,329.74,336.61,361.58,347.48,1978.66,1169.86,1287.57,2019.42,647.72
edl,mis,i,es,322.95,1415.99,1990.11,346.14,341.88,315.9,310.5,300.32,1026.14,834.86,1111.8,1474.82,2632.35
edl,bis,i,es,293.49,2654.02,171.95,256.2,274.78,296.06,304.21,336.19,2661.81,2666.48,2610.91,2670.25,2660.67
edl,pis,i,es,276.02,2582.34,233.01,213.04,228.98,285.03,315.03,338.01,2572.55,2620.71,2599.11,2604.1,2515.23
edl,cito,i,es,248.4,2337.85,964.78,270.49,260.14,294.72,226.28,190.37,2582.64,2584.95,2443.57,2403.18,1674.91
edl,fito,i,es,271.7,2482.03,163.24,286.9,266.74,257.59,275.35,271.92,2493.45,2524.09,2517.9,2469.1,2405.6
edl,quito,a,es,271.99,2664.02,116.91,267.05,254.52,262.32,285.99,290.05,2627.73,2671.97,2685.57,2683,2651.83
edl,mas,a,es,616.97,1218.01,304.29,596.29,620.9,571.68,611.63,684.35,1105.12,1130.58,1277.07,1281.37,1295.89
edl,vas,a,es,692.22,1143.88,635.75,758.8,768.2,739.82,773.94,420.35,1275.97,1288.87,1131.82,1033.84,988.88
edl,pasa,a,es,730.14,1195.03,223.48,735.64,764.53,737.86,743.14,669.51,1194.55,1252.65,1180.73,1183.19,1164.03
edl,sala,a,es,755.13,1510.14,306.15,744.76,758.56,779.21,766.22,726.9,1383.42,1432.07,1483.58,1576.39,1675.23
edl,fama,a,es,685.68,1215.79,199.42,765.55,679.2,682.47,671.89,629.28,1198.08,1239.92,1249.48,1214.6,1176.86
edl,cama,u,es,623.17,1294.03,295.66,738.6,666.08,627.7,599.67,483.83,1363.33,1327.65,1290.61,1260.15,1228.43
edl,musa,u,es,485.36,1151.84,3856.53,454.38,478.38,380.76,356.4,756.89,515.5,1863.26,673.52,790.16,1916.74
edl,bulto,u,es,295.23,905.95,3411.47,254.75,105.13,455.22,299.26,361.8,558.79,484.76,2013.54,608.74,863.94
edl,puso,u,es,355.26,864.21,650.17,394.76,397.67,341.72,339.9,302.23,706.62,720.06,749.61,823.43,1321.31
edl,supo,u,es,303.92,829.81,274.27,314.51,305.42,304.71,296.71,298.26,739.72,713.64,822.04,913.71,959.92
edl,fumo,u,es,381.49,956.04,1867.07,348.2,376.03,360.18,374,449.06,620.4,676.06,670.12,566.14,2247.48
edl,cura,u,es,485.36,1151.84,3856.53,454.38,478.38,380.76,356.4,756.89,515.5,1863.26,673.52,790.16,1916.74
